ID,ADMINIST,CODIGO_PEAJE,DEPARTAMENTO,NOMBRE_PEAJE,VEH_LIGEROS_TAR_DIF,VEH_LIGEROS_AUTOMOVILES,VEH_PESADOS_TAR_DIF,VEH_PESADOS__2E,VEH_PESADOS_3E,VEH_PESADOS_4E,VEH_PESADOS_5E,VEH_PESADOS_6E,VEH_PESADOS_7E,VEH_LIGEROS_TOTAL,VEH_LIGEROS_IMD,VEH_PESADOS_TOTAL,VEH_PESADOS_IMD,VEH_TOTAL,VEH_IMD,ANIO,MES,PERIODO
10138,No concesionado,12PE3SHUO1,Junin,Chacapampa,810,10356,0,2788,836,124,116,778,20,11166,360.2,4662,150.4,15828,510.6,2024,10,202410
10139,No concesionado,12PE22BCHO1,Junin,Chalhuapuquio (El Pedregal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,10,202410
10140,No concesionado,14PE06ACUC1,Lambayeque,Cuculi (Pomalca),1601,18283,0,5437,1367,407,293,901,13,19884,641.4,8418,271.5,28302,913,2024,10,202410
10141,No concesionado,20PE1NTYL1,Piura,Desvio Talara,0,26557,0,8011,3497,1542,2173,5912,100,26557,856.7,21235,685,47792,1541.7,2024,10,202410
10142,No concesionado,21PE3SILV1,Puno,Ilave,897,17328,11700,2433,1326,1957,2250,1298,8,18225,587.9,20972,676.5,39197,1264.4,2024,10,202410
10143,No concesionado,15PE24LNH1,Lima,Lunahuana,756,27389,0,3283,488,396,6,41,19,28145,907.9,4233,136.5,32378,1044.5,2024,10,202410
10144,No concesionado,14PE1NJMOC1,Lambayeque,Mocce,18528,61604,8141,8285,5216,1860,792,4273,592,80132,2584.9,29159,940.6,109291,3525.5,2024,10,202410
10145,No concesionado,11PE1SNZA1,Ica,Nasca,0,46115,0,8711,10264,3030,7191,19607,543,46115,1487.6,49346,1591.8,95461,3079.4,2024,10,202410
10146,No concesionado,11PE28APRA1,Ica,Pacra,0,13927,0,2293,3347,977,795,3471,137,13927,449.3,11020,355.5,24947,804.7,2024,10,202410
10147,No concesionado,23PE1SDPRO1,Tacna,Pozo Redondo,0,14067,0,2360,1091,474,872,3225,28,14067,453.8,8050,259.7,22117,713.5,2024,10,202410
10148,No concesionado,04PE1SDPDB1,Arequipa,Punta Bombon,0,9989,0,2275,997,378,956,3619,49,9989,322.2,8274,266.9,18263,589.1,2024,10,202410
10149,No concesionado,21PE36APDA1,Puno,Punta Perdida,0,1593,0,255,443,564,2191,1110,4,1593,51.4,4567,147.3,6160,198.7,2024,10,202410
10150,No concesionado,04PE1SDQLC1,Arequipa,Quilca,0,4540,0,829,1272,503,1941,2955,58,4540,146.5,7558,243.8,12098,390.3,2024,10,202410
10151,No concesionado,08PE28ARUM1,Ayacucho,Rumichaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,10,202410
10152,No concesionado,08PE3SSAY1,Cusco,Saylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,10,202410
10153,No concesionado,21PE36ASIC1,Puno,Sicuyani,553,3607,213,747,520,594,2176,1087,0,4160,134.2,5337,172.2,9497,306.4,2024,10,202410
10154,No concesionado,05PE28ASOC1,Ayacucho,Socos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,10,202410
10155,No concesionado,20PE1NLTGD1,Piura,Tambogrande,0,36201,0,4242,847,192,293,597,10,36201,1167.8,6181,199.4,42382,1367.2,2024,10,202410
10156,No concesionado,15PE16TNA1,Lima,Tunan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,10,202410
10157,No concesionado,04PE1SYCA1,Arequipa,Yauca,0,13109,0,4033,6186,2003,4727,14197,329,13109,422.9,31475,1015.3,44584,1438.2,2024,10,202410
10158,Concesionado,22PE5NACS1,San Martin,Aguas Claras,2049,15577,0,2684,3014,1487,244,4253,57,17626,568.6,11739,378.7,29365,947.3,2024,11,202411
10159,Concesionado,04PE1SCAM1,Arequipa,Camana,0,49802,0,8794,6973,2072,4115,20595,447,49802,1606.5,42996,1387,92798,2993.5,2024,11,202411
10160,Concesionado,12PE3NCRA1,Junin,Casaracra-Concesion,124,54270,0,12658,14741,3886,1520,21286,144,54394,1754.6,54235,1749.5,108629,3504.2,2024,11,202411
10161,Concesionado,13PE1NCMA1,La Libertad,Chicama,11545,207376,9517,31833,32330,8762,10064,50017,910,218921,7062,143433,4626.9,362354,11688.8,2024,11,202411
10162,Concesionado,15PE1SCLA1,Lima,Chilca,0,478668,0,68230,39042,9740,16990,76044,2700,478668,15440.9,212746,6862.8,691414,22303.7,2024,11,202411
10163,Concesionado,20PE1NJCLS1,Piura,Chulucanas,13925,53005,2065,8932,3314,875,1443,7921,1204,66930,2159,25754,830.8,92684,2989.8,2024,11,202411
10164,Concesionado,13PE08CDS1,La Libertad,Ciudad de Dios,19292,21900,148,5552,6256,880,602,17174,240,41192,1328.8,30852,995.2,72044,2324,2024,11,202411
10165,Concesionado,15PE22CCA1,Lima,Corcona-Concesion,5571,100665,3410,18853,23415,6612,2752,36157,518,106236,3427,91717,2958.6,197953,6385.6,2024,11,202411
10166,Concesionado,20PE1NCBA1,Piura,Cruce Bayovar,0,37170,0,9898,15262,4982,7226,27898,362,37170,1199,65628,2117,102798,3316.1,2024,11,202411
10167,Concesionado,14PE04BOLS1,Lambayeque,Desvio Olmos,191,23685,0,4716,7375,3075,528,7910,40,23876,770.2,23644,762.7,47520,1532.9,2024,11,202411
10168,Concesionado,04PE1SEFS1,Arequipa,El Fiscal,0,32000,0,3553,3138,318,5507,7004,195,32000,1032.3,19715,636,51715,1668.2,2024,11,202411
10169,Concesionado,15PE1NEPS1,Lima,El Paraiso,0,172331,0,37664,45916,11459,16200,72813,1365,172331,5559.1,185417,5981.2,357748,11540.3,2024,11,202411
